transaction_id,customer_id,id_tiempo,id_geografia,id_pago,id_envio,quantity,total_amount,shipping_cost,monto_total_con_envio
TXN_957334,CUST_11907,1,,1,1,1,199.66,5.39,205.04999999999998
TXN_246397,CUST_27641,2,,2,1,4,464.03,8.18,472.21
TXN_403072,CUST_78628,3,,3,2,1,42.04,8.61,50.65
TXN_848560,CUST_98579,4,,3,3,3,443.08,17.0,460.08
TXN_270817,CUST_67519,5,,2,2,4,162.8,20.53,183.33
TXN_235574,CUST_76740,6,,1,1,3,894.11,17.06,911.17
TXN_539896,CUST_25980,7,,2,1,1,52.95,8.19,61.14
TXN_831689,CUST_71988,8,,3,1,1,81.4,12.74,94.14
TXN_743257,CUST_72363,9,,2,3,1,79.57,7.93,87.5
TXN_379872,CUST_86291,10,,2,3,1,193.72,21.37,215.09
TXN_486623,CUST_17742,11,,4,1,3,692.68,15.94,708.62
TXN_985504,CUST_93004,12,,3,4,4,88.37,6.46,94.83
TXN_585652,CUST_59910,13,,3,2,2,62.48,8.26,70.74
TXN_787216,CUST_75661,14,,2,1,1,220.03,19.31,239.34
TXN_592589,CUST_71286,15,,1,1,4,810.14,8.66,818.8
TXN_130080,CUST_92668,16,,4,3,3,337.77,8.46,346.22999999999996
TXN_486096,CUST_71393,17,,2,4,9,368.27,18.82,387.09
TXN_127575,CUST_92335,18,,3,2,4,529.02,5.69,534.71
TXN_291606,CUST_70484,19,,3,2,2,451.54,19.57,471.11
TXN_641751,CUST_21818,20,,3,1,2,491.14,9.07,500.21
TXN_933760,CUST_22050,21,,4,2,4,826.67,21.29,847.9599999999999
TXN_355758,CUST_18163,22,,2,1,3,414.22,14.38,428.6
TXN_156896,CUST_67828,23,,3,1,3,593.0,15.62,608.62
TXN_256701,CUST_66796,24,,1,3,3,682.83,22.53,705.36
TXN_580612,CUST_73423,25,,5,4,11,587.18,15.51,602.6899999999999
TXN_644155,CUST_41199,26,,6,3,8,83.67,6.16,89.83
TXN_186177,CUST_61231,27,,1,1,2,181.83,24.12,205.95000000000002
TXN_658500,CUST_65427,28,,4,2,2,181.25,9.93,191.18
TXN_926575,CUST_54774,29,,6,3,8,302.02,8.14,310.15999999999997
TXN_364031,CUST_22756,30,,2,4,18,210.26,9.79,220.04999999999998
TXN_311519,CUST_51094,31,,2,2,3,733.05,20.89,753.9399999999999
TXN_111974,CUST_39171,32,,1,2,3,845.22,10.1,855.32
TXN_660805,CUST_62181,33,,4,1,3,95.21,14.18,109.38999999999999
TXN_372848,CUST_68700,34,,3,1,2,240.23,12.79,253.01999999999998
TXN_650075,CUST_76836,35,,1,3,2,358.55,16.07,374.62
TXN_628291,CUST_69246,36,,2,3,2,474.35,24.33,498.68
TXN_519581,CUST_19767,37,,5,4,14,385.64,17.77,403.40999999999997
TXN_224463,CUST_76125,38,,4,1,3,758.67,7.89,766.56
TXN_682553,CUST_10170,39,,3,4,6,310.84,16.06,326.9
TXN_648341,CUST_40540,40,,2,3,2,596.96,13.99,610.95
TXN_842553,CUST_10123,41,,2,3,2,345.2,21.23,366.43
TXN_119097,CUST_58498,42,,3,1,1,210.63,8.34,218.97
TXN_536675,CUST_49662,43,,4,2,1,117.05,8.28,125.33
TXN_775985,CUST_97170,44,,2,1,2,389.47,17.36,406.83000000000004
TXN_111036,CUST_87731,45,,4,1,2,71.88,23.59,95.47
TXN_840524,CUST_27077,46,,1,3,4,669.88,14.55,684.43
TXN_472669,CUST_51455,47,,1,3,1,192.6,21.82,214.42
TXN_959672,CUST_30808,48,,1,3,1,63.79,18.26,82.05
TXN_490439,CUST_17106,49,,1,1,3,103.16,15.58,118.74
